id;date_create;date_edit;creator;editor
1;2019-05-30T22:21:11;2019-05-31T11:00:04;empower;Senior
2;2019-05-31T14:04:30;2019-05-30T23:11:22;microchip;Music Salad North Carolina
3;2019-05-31T04:16:23;2019-05-30T21:29:33;Forward Money Market Account end-to-end;facilitate Alaska solution-oriented
4;2019-05-30T23:24:27;2019-05-31T06:06:09;generate magnetic;context-sensitive Metrics transmit
5;2019-05-31T11:01:28;2019-05-31T11:38:43;Missouri Agent Squares;supply-chains
6;2019-05-31T13:50:52;2019-05-31T02:05:17;generate;withdrawal Down-sized Metal
7;2019-05-30T18:20:56;2019-05-31T04:15:58;Granite Corporate Lari;Sports Global Soft
8;2019-05-31T00:33:03;2019-05-31T02:25:59;Awesome Cotton Tuna;calculating yellow
9;2019-05-31T14:07:23;2019-05-31T11:01:36;tertiary;USB
10;2019-05-31T00:02:57;2019-05-31T08:22:10;payment Bedfordshire;Internal niches
