id;date_create;date_edit;creator;editor;id_id
1;2019-05-31T11:44:03;2019-05-30T20:12:54;recontextualize;Developer Books;10
2;2019-05-31T04:58:36;2019-05-30T21:23:35;COM Fork Borders;open-source Burundi;2
3;2019-05-31T12:00:45;2019-05-31T09:32:48;Metal;lime Chilean Peso Unidades de fomento Officer;1
4;2019-05-30T19:11:31;2019-05-30T20:35:22;communities;Officer Quality-focused invoice;10
5;2019-05-30T14:03:41;2019-05-31T03:44:56;Health Polarised transmitting;Rhode Island Music Data;7
6;2019-05-30T14:41:02;2019-05-30T20:29:44;lavender invoice;Guarani Colorado;4
7;2019-05-30T20:56:37;2019-05-31T08:54:32;Checking Account utilisation AI;USB primary Iowa;8
8;2019-05-31T10:06:47;2019-05-30T15:38:52;unleash system engine;schemas Legacy SAS;4
9;2019-05-31T02:16:40;2019-05-30T15:52:42;embrace intranet deposit;migration;4
10;2019-05-30T22:05:46;2019-05-31T03:13:25;Iceland Krona deliver;Savings Account Haiti;5
