id;date_create;date_edit;creator;editor;id_id
1;2019-05-31T05:52:45;2019-05-31T07:49:40;withdrawal cross-platform Investment Account;Key mobile Direct;10
2;2019-05-31T11:13:11;2019-05-30T18:47:09;throughput Trinidad and Tobago Dollar;Gorgeous stable;10
3;2019-05-31T12:44:57;2019-05-31T07:35:53;online quantifying Borders;District deposit;7
4;2019-05-30T16:19:34;2019-05-31T12:04:18;Cambridgeshire Computer;Analyst bandwidth Small Steel Computer;8
5;2019-05-30T20:28:47;2019-05-30T21:51:17;primary;Books;10
6;2019-05-31T01:27:56;2019-05-30T19:58:17;web-enabled workforce;Consultant Branding;8
7;2019-05-31T09:13:36;2019-05-31T05:09:19;partnerships;invoice bypass;3
8;2019-05-31T03:29:18;2019-05-31T13:10:07;Sleek;Product 1080p Pre-emptive;10
9;2019-05-31T04:30:17;2019-05-30T21:39:18;Music;Money Market Account;8
10;2019-05-31T12:00:33;2019-05-30T22:13:04;Kyrgyz Republic Unbranded Frozen Gloves back-end;Wall;2
