id;date_create;date_edit;creator;editor;id_id
1;2019-05-31T10:47:51;2019-05-31T11:32:08;Central District 1080p;bypass;2
2;2019-05-31T07:19:36;2019-05-30T22:05:12;Cotton;Dynamic Ville Movies;3
3;2019-05-31T11:21:45;2019-05-31T11:39:42;Computers;Extended;10
4;2019-05-30T17:50:28;2019-05-31T06:44:34;explicit index Summit;actuating Shoes TCP;1
5;2019-05-31T11:13:42;2019-05-30T21:51:33;Connecticut back-end groupware;revolutionary Future Shoes;7
6;2019-05-30T23:34:20;2019-05-30T13:36:38;Vermont;streamline navigating open-source;7
7;2019-05-30T19:11:33;2019-05-31T00:51:52;Engineer Metal microchip;Kentucky;5
8;2019-05-31T05:19:24;2019-05-30T13:24:15;Personal Loan Account e-business Steel;program;5
9;2019-05-31T06:42:32;2019-05-31T10:35:59;Kwacha Macedonia Executive;AI;8
10;2019-05-30T23:42:39;2019-05-31T11:06:28;hard drive Namibia Intelligent;indexing initiatives;2
