id;date_create;date_edit;creator;editor;id_id
1;2019-05-31T06:40:08;2019-05-30T22:54:19;Falkland Islands (Malvinas) invoice Courts;Bahamian Dollar;6
2;2019-05-31T12:20:33;2019-05-31T11:39:57;Automated;Mississippi;3
3;2019-05-31T06:45:09;2019-05-30T18:11:39;Incredible Focused;quantify Ergonomic Fresh Salad SCSI;7
4;2019-05-31T06:03:11;2019-05-30T23:44:44;Principal orchid;Dominica;9
5;2019-05-30T18:54:47;2019-05-31T07:08:09;interfaces;Consultant;9
6;2019-05-31T00:13:21;2019-05-31T01:28:06;Gorgeous Fresh Bike Investment Account;bandwidth;6
7;2019-05-30T16:09:07;2019-05-31T13:11:57;IB Refined Frozen Towels Beauty;markets support vortals;8
8;2019-05-31T10:40:56;2019-05-30T23:32:12;Corporate initiatives;Web Pike;8
9;2019-05-30T21:07:11;2019-05-30T22:37:57;Malagasy Ariary;Intelligent;4
10;2019-05-30T19:06:03;2019-05-31T02:16:44;withdrawal Response Investment Account;Analyst motivating optimize;9
