id;date_create;date_edit;creator;editor;id_id
1;2019-05-30T20:28:53;2019-05-30T16:24:03;Guinea overriding;Designer Course;7
2;2019-05-31T08:42:55;2019-05-31T09:21:31;Bedfordshire Industrial Borders;Cotton Small red;10
3;2019-05-31T03:25:13;2019-05-31T02:47:33;utilize;hack;5
4;2019-05-31T01:01:25;2019-05-31T05:47:25;Internal;productize;4
5;2019-05-31T05:11:49;2019-05-31T01:21:21;e-markets Assistant Western Sahara;mission-critical;10
6;2019-05-31T09:05:38;2019-05-31T03:23:04;redefine;generate Liaison;5
7;2019-05-30T23:26:35;2019-05-30T23:57:29;Cheese Streamlined;action-items secured line next generation;2
8;2019-05-31T08:28:48;2019-05-31T11:20:54;cross-platform contextually-based;connecting Guadeloupe Towels;6
9;2019-05-31T09:23:29;2019-05-30T12:44:21;Tuna indexing;drive;10
10;2019-05-30T19:06:08;2019-05-30T15:36:17;Money Market Account;bluetooth Fall;8
