id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Wooden Data hard drive;architect Fresh SAS;Guyana Dollar;62502;strategy;2019-05-30T18:04:40;2019-05-30T21:31:37;primary Fully-configurable;Intranet transmitting
2;Investor Computers Chilean Peso Unidades de fomento;salmon;fault-tolerant;30677;best-of-breed;2019-05-30T22:45:38;2019-05-30T15:13:55;mindshare AI;Gorgeous Soft Pants asymmetric
3;cross-platform Gourde US Dollar;Intelligent Cotton Shirt;Technician wireless alarm;11619;redundant;2019-05-30T18:49:31;2019-05-30T19:38:57;Tasty eco-centric;Group
4;Supervisor Practical Granite Chips Computer;Botswana Administrator Rwanda;hard drive;42272;sexy;2019-05-31T04:07:44;2019-05-31T11:53:40;Savings Account;Buckinghamshire modular
5;Norfolk Island;Liaison Home Loan Account Rustic;Chief;6833;partnerships;2019-05-30T20:58:21;2019-05-30T23:17:41;Checking Account payment;deposit
6;Coordinator Organic Tenge;Rial Omani Kansas Ethiopia;Checking Account;86609;Research;2019-05-31T11:07:47;2019-05-31T02:53:37;Personal Loan Account;capacitor
7;Electronics quantify Credit Card Account;Aruban Guilder e-commerce;incubate;93626;Jordan;2019-05-30T15:07:12;2019-05-30T14:41:23;innovate;Savings Account feed silver
8;Sleek Shoes;archive Legacy;Forward;43402;Sharable convergence system;2019-05-31T13:27:15;2019-05-30T13:45:41;Polarised New Zealand;Reactive microchip Handcrafted
9;programming;circuit;Computers;35597;Computers;2019-05-31T11:49:12;2019-05-31T07:43:48;Fantastic Granite Table program Home Loan Account;Checking Account productize software
10;cross-platform indexing Response;digital benchmark;compress matrix;52144;Licensed Cotton Table;2019-05-30T15:34:24;2019-05-31T08:43:20;haptic global;ubiquitous Internal deposit
