id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;online e-commerce AGP;bus supply-chains;Nigeria Frozen;78398;networks;2019-05-31T01:40:11;2019-05-31T06:39:16;e-markets Electronics matrices;paradigms Meadows
2;Implementation;real-time;synergies withdrawal upward-trending;15949;Hat;2019-05-31T11:58:47;2019-05-30T18:47:43;Branding;SMS neural Cayman Islands Dollar
3;virtual;system engine;convergence;55338;Grass-roots navigate;2019-05-31T11:49:56;2019-05-30T17:47:11;neural conglomeration Forward;virtual withdrawal syndicate
4;Integration;artificial intelligence Regional Awesome;Berkshire sky blue SAS;67694;copying RSS index;2019-05-31T03:07:50;2019-05-31T13:21:13;clear-thinking Ramp;Fish Jamaican Dollar
5;Avon;Fish Sports;Romania haptic capacity;54136;value-added;2019-05-31T03:43:51;2019-05-31T09:41:37;Human Cross-platform turn-key;Idaho
6;Cote d'Ivoire;customer loyalty Car;morph;23420;ivory Intranet;2019-05-30T22:52:50;2019-05-30T14:00:07;technologies index;Palau Som El Salvador Colon US Dollar
7;tan;architectures;New York Beauty Research;69662;Avon Tactics;2019-05-31T03:08:00;2019-05-31T10:14:36;Malagasy Ariary yellow unleash;Djibouti Franc generate Group
8;Kids optical Handcrafted Granite Shirt;THX magenta;Team-oriented Shoes feed;53565;indexing transmitting overriding;2019-05-31T02:01:46;2019-05-31T10:36:51;regional Kazakhstan;Bacon AI
9;Berkshire Movies niches;auxiliary Product;blue;4198;Junctions Towels parse;2019-05-30T17:19:17;2019-05-31T12:04:26;invoice Practical;Buckinghamshire Administrator
10;Representative;Incredible Cotton Bike Incredible Soft Pants;Handmade Cotton Pants Islands;72273;withdrawal;2019-05-30T20:39:41;2019-05-30T15:22:08;architect;invoice Berkshire Kids
