id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;SSL e-tailers;Turkmenistan users;Wooden;56541;deliverables solid state;2019-05-30T21:00:22;2019-05-31T12:22:06;harness Licensed Movies;Soap strategic
2;Enterprise-wide;transmitting;Specialist Concrete Extended;86840;Program;2019-05-31T04:19:00;2019-05-30T16:08:30;green;Alabama exploit
3;hard drive;Jewelery virtual customer loyalty;Cordoba Oro;36411;Wisconsin Beauty;2019-05-31T12:54:08;2019-05-31T07:46:55;hard drive optimizing;Cotton Borders green
4;technologies;Bacon teal contingency;bypassing;93039;Intelligent;2019-05-31T03:35:10;2019-05-31T13:10:27;Auto Loan Account asymmetric;pink
5;deposit XML index;interactive visualize Marshall Islands;salmon;20858;process improvement Corporate Cameroon;2019-05-30T20:46:26;2019-05-31T07:57:05;best-of-breed infrastructures;Car backing up Maryland
6;Turkish Lira white;Engineer visionary;Product attitude;22999;systems;2019-05-31T08:36:53;2019-05-30T17:23:06;neural Metal South Africa;integrate
7;payment;revolutionary Kwanza;Executive;3002;Dam Cambridgeshire Frozen;2019-05-31T10:19:48;2019-05-30T19:20:10;invoice Montana;withdrawal Architect calculate
8;content e-commerce;payment;quantifying red;93443;Cedi hacking;2019-05-31T01:02:21;2019-05-31T11:59:54;Checking Account Solomon Islands Automated;Central Officer
9;deposit;transmit Phased XML;Rustic Plastic Chips;9327;Facilitator Plastic Chicken;2019-05-30T17:02:16;2019-05-31T00:07:33;Auto Loan Account UAE Dirham Alabama;morph Soft
10;Multi-lateral;Integration migration payment;white Handcrafted Wooden Bike;60599;calculating;2019-05-31T13:18:27;2019-05-31T11:39:54;Director Shoes Personal Loan Account;benchmark Burg
