id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;payment Coordinator;Innovative;Harbor;13801;Intelligent;2019-05-30T17:45:31;2019-05-30T13:58:33;niches Belize HTTP;Customer Station flexibility
2;firmware target;SMTP Kansas Belarussian Ruble;payment Metal;57849;Malaysian Ringgit;2019-05-30T20:51:26;2019-05-31T07:30:36;optical supply-chains Producer;Auto Loan Account
3;Netherlands Antillian Guilder;dynamic supply-chains Auto Loan Account;Distributed Cross-platform Venezuela;52356;homogeneous;2019-05-31T06:31:05;2019-05-30T23:37:06;Samoa;deposit
4;Tasty Mississippi Bahrain;Generic Plastic Bacon;Sleek Granite Ball Yen Persistent;30777;Savings Account Principal;2019-05-30T18:14:01;2019-05-31T00:35:50;Soft Regional;invoice
5;Officer Seychelles Rupee;Kentucky collaborative Global;card;92410;Consultant;2019-05-30T17:40:30;2019-05-30T20:49:17;toolset;Investment Account Mobility Tenge
6;portals;Egypt back-end leverage;Director engineer;6203;robust Avon;2019-05-31T09:47:08;2019-05-31T12:12:19;Cambridgeshire Practical;collaborative
7;RAM Trail;synergies maximize payment;Port streamline;45538;experiences alarm Frozen;2019-05-31T08:55:42;2019-05-31T10:02:14;Fort;Moldova Cotton
8;B2C Wooden whiteboard;Handmade Rubber Bike;Intelligent Rubber Car Money Market Account SDD;57698;end-to-end;2019-05-30T18:23:59;2019-05-31T06:34:50;Belarus Mexican Peso Mexican Unidad de Inversion (UDI);Corporate leverage
9;GB;Pizza portals;Checking Account United Kingdom;31912;Passage Buckinghamshire blue;2019-05-31T06:06:41;2019-05-31T02:13:40;invoice copying virtual;lavender
10;Plastic JBOD Director;innovate;Licensed Cotton Shoes Berkshire;58064;Solutions Bond Markets Units European Composite Unit (EURCO) Curve;2019-05-30T18:14:23;2019-05-30T18:48:35;Checking Account holistic SDD;open-source
