id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Connecticut;e-markets deposit;Steel Rubber;18928;Junction override District;2019-05-30T16:41:01;2019-05-31T11:34:18;indexing;plum even-keeled Buckinghamshire
2;Cuba;Web Spurs Pine;communities;95794;Central African Republic Investment Account red;2019-05-30T21:43:00;2019-05-31T01:15:08;Electronics backing up;Auto Loan Account copy Sri Lanka
3;Norway;Generic synergies;Concrete;74229;Innovative;2019-05-30T22:22:49;2019-05-31T11:30:17;exploit Cambridgeshire;AI stable
4;Granite;Movies Movies;Nebraska Wyoming;87803;Illinois;2019-05-30T13:41:51;2019-05-31T10:00:26;Direct;Licensed Concrete Salad Madagascar withdrawal
5;throughput;indexing hierarchy;Directives;98403;back-end;2019-05-30T18:34:13;2019-05-31T00:17:13;De-engineered proactive Developer;capacitor Rustic Frozen Shirt Awesome
6;Handcrafted;Chicken;withdrawal;41078;Berkshire systems Toys;2019-05-31T04:41:00;2019-05-31T12:11:56;Executive;Usability
7;Reunion Specialist;target;Computer;5097;Auto Loan Account;2019-05-31T07:44:44;2019-05-30T20:28:17;Botswana Highway;primary solutions Money Market Account
8;optical Director;Tala;calculating Multi-tiered benchmark;40967;Orchestrator Chair digital;2019-05-31T04:42:42;2019-05-30T17:16:52;full-range hard drive revolutionize;primary CSS
9;Quality;Metal vortals Pakistan;Home Loan Account Wyoming;5917;payment;2019-05-30T18:16:42;2019-05-31T03:13:42;Steel Fish Intranet;e-business Frozen eyeballs
10;B2C Leone;Riel Louisiana;Money Market Account Illinois Tuna;47173;Gambia;2019-05-30T23:02:44;2019-05-31T07:20:31;Handmade Fresh Chair;web-enabled
