id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Awesome Metal Ball open system quantify;digital firewall;Granite infrastructures;31730;District;2019-05-31T12:31:15;2019-05-30T23:36:00;Bedfordshire eco-centric Grocery;Product Re-engineered
2;Garden;Tasty Wooden;Center Small;62568;Guinea embrace Egypt;2019-05-30T16:27:56;2019-05-30T22:34:24;3rd generation;RAM New Jersey
3;matrix Auto Loan Account redundant;copy Future;circuit Ball;18117;open-source;2019-05-31T04:44:59;2019-05-31T06:37:45;Montenegro New Jersey;Generic Fresh Car Computer
4;Cheese Buckinghamshire salmon;Tools;multi-byte Tools;64937;Guyana Dollar virtual Functionality;2019-05-31T13:29:59;2019-05-31T05:59:47;Vermont;Prairie South Dakota invoice
5;programming Industrial monitor;bi-directional;deposit core Unbranded Wooden Ball;92;Corporate;2019-05-31T13:23:32;2019-05-30T17:21:53;Berkshire;24/7 Legacy Handmade Granite Gloves
6;functionalities orchid Assistant;Unbranded envisioneer;optical hack;69165;Director;2019-05-31T04:32:16;2019-05-31T12:40:33;Chicken;system New York lime
7;granular Cotton;withdrawal;deposit synergize Computers;52340;Forward;2019-05-30T18:29:36;2019-05-30T16:09:41;impactful copy Legacy;Concrete invoice withdrawal
8;impactful;Central;Licensed;24853;matrix;2019-05-30T18:34:17;2019-05-31T02:19:40;French Polynesia Configuration IB;compress Frozen Bermudian Dollar (customarily known as Bermuda Dollar)
9;SMTP flexibility Sleek Metal Tuna;Bedfordshire;extranet;6368;Pizza Games Villages;2019-05-31T11:57:40;2019-05-31T06:05:29;deposit reboot optical;dynamic optical back-end
10;pixel bypass Zloty;Auto Loan Account;Gloves Refined Metal Chips;47547;bypassing;2019-05-31T04:46:54;2019-05-31T09:18:52;transmitting;New Zealand maroon hard drive
