id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;matrix Lodge;parsing programming capacitor;generate;46878;feed National Fresh;2019-05-31T06:22:12;2019-05-30T20:15:47;Rubber;success alliance
2;Tactics;THX Extended Euro;Configuration benchmark;77550;incubate Frozen Automotive;2019-05-31T00:36:35;2019-05-31T08:21:19;Fantastic Concrete Pants Grenada Hat;vortals
3;Beauty Granite platforms;Coordinator;Circles;45126;HDD Iraq;2019-05-31T02:26:25;2019-05-31T03:32:21;neural cyan;THX Riel Granite
4;Automated;Optimization withdrawal quantify;Facilitator;43526;Lead;2019-05-31T05:23:29;2019-05-31T04:38:16;Hawaii;applications yellow
5;Turkmenistan;compressing transmit;hack;73285;SMS;2019-05-30T20:19:30;2019-05-30T15:22:50;models;instruction set
6;robust;calculate monitor;Handmade;3559;Executive Enterprise-wide Handmade Concrete Ball;2019-05-31T12:44:12;2019-05-30T22:40:48;Licensed Hills;infomediaries New Taiwan Dollar Cambridgeshire
7;program Afghani Jewelery;Bypass Assistant;website Pennsylvania;27944;haptic;2019-05-30T16:23:45;2019-05-30T13:51:39;SCSI Gorgeous;Guadeloupe TCP Graphic Interface
8;Cross-platform backing up customized;Small Frozen Gloves Integration Concrete;Intelligent Concrete Table Azerbaijan;29136;action-items;2019-05-31T04:37:37;2019-05-31T03:08:40;Agent online card;Refined Tactics
9;card;extranet neural-net Pizza;Direct alarm bandwidth-monitored;32628;Automotive;2019-05-30T19:24:38;2019-05-31T09:06:31;transmitting;Steel Sausages
10;Re-engineered GB;applications;Electronics Avon;76944;Optimization Lead synthesizing;2019-05-30T16:21:19;2019-05-30T14:07:59;Money Market Account;system-worthy productize
