id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;database;Field Synergized;Unbranded Berkshire Forint;26175;Investment Account indexing pink;2019-05-30T16:22:29;2019-05-30T16:33:31;Iowa index;focus group system optical
2;rich neural Communications;out-of-the-box Singapore;calculating;39505;Small Cotton Car Jamaican Dollar;2019-05-31T03:34:46;2019-05-31T00:23:08;Island Credit Card Account Estates;override Botswana
3;Money Market Account;back up Berkshire;Tasty;53135;productize Investment Account online;2019-05-31T07:11:44;2019-05-30T16:50:13;Malaysia pixel Public-key;Bahamian Dollar Bedfordshire
4;Movies Small Frozen Pants;open-source;hacking Rwanda;15314;capacitor Investment Account feed;2019-05-30T19:54:50;2019-05-30T17:51:17;interfaces focus group Web;Sleek Fresh Mouse Wooden
5;transmitting;Money Market Account reinvent;Swaziland Louisiana;20699;bypassing Licensed cutting-edge;2019-05-30T22:03:31;2019-05-31T10:01:27;networks;feed
6;Brazil deposit black;Avon;service-desk Oklahoma JSON;66692;e-tailers Functionality feed;2019-05-30T16:03:50;2019-05-31T09:45:32;Gorgeous Australia;bandwidth Soft protocol
7;Borders Generic Wooden Keyboard;repurpose Personal Loan Account Planner;Frozen Soft pixel;18378;moratorium;2019-05-31T02:41:41;2019-05-30T23:25:36;Savings Account;relationships empowering
8;Reunion;neural;indigo;8496;convergence invoice;2019-05-31T03:52:57;2019-05-30T20:23:20;multi-byte;robust
9;Chief syndicate empowering;bus Sports Harbors;JSON Small Steel Towels;62351;Sleek Plastic Computer Rand sexy;2019-05-31T10:04:38;2019-05-30T23:38:50;Multi-channelled;Lane primary
10;Practical transmitting Cross-group;Object-based;navigate Tasty Rubber Shoes Soft;3646;Practical Fresh Shirt Metal;2019-05-31T13:18:14;2019-05-31T01:14:50;Configuration Expanded;niches
