id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;SQL Operations Operative;evolve Car Liaison;Sleek Fresh Soap Intelligent Concrete Towels Handcrafted;29542;Tasty Rial Omani;2019-05-31T09:31:57;2019-05-31T03:49:45;transmit Chair e-enable;Grocery Seamless
2;Berkshire;Borders cross-platform wireless;Digitized Reverse-engineered Bedfordshire;26084;Electronics;2019-05-30T21:10:24;2019-05-31T08:21:46;Berkshire parsing;Oklahoma
3;deposit COM Synergistic;Washington alarm;evolve Granite;26248;Utah program;2019-05-31T09:44:47;2019-05-30T13:31:52;Infrastructure Open-architected;Bond Markets Units European Composite Unit (EURCO) parsing
4;e-business;Hat;Pound Sterling;27347;program;2019-05-31T11:29:33;2019-05-31T10:10:43;navigating;out-of-the-box
5;Sleek Frozen Gloves;red process improvement Analyst;online Micronesia;64102;open-source whiteboard Clothing;2019-05-30T16:20:02;2019-05-30T22:09:24;Sleek Afghani;Borders
6;port maroon quantifying;optical;Groves lavender;13377;Research Ergonomic Concrete Shoes one-to-one;2019-05-30T21:50:49;2019-05-31T06:38:13;RAM Gorgeous;Extended ivory models
7;Electronics Berkshire Cotton;Facilitator Group redundant;approach;71660;global;2019-05-31T06:18:20;2019-05-31T00:35:25;bypass USB;Garden payment Gloves
8;Generic Metal Chips;index;circuit;69337;index budgetary management optical;2019-05-31T05:40:42;2019-05-30T17:08:47;Producer International;Associate Configurable payment
9;Turkmenistan Dam;index New Hampshire;Health;26070;Borders circuit;2019-05-31T08:33:10;2019-05-30T23:04:09;payment Jersey;Computers
10;Bedfordshire system engine;Granite;analyzer Monitored;46398;Plastic Division;2019-05-30T15:54:28;2019-05-31T08:48:26;array Auto Loan Account protocol;calculate Cotton deposit
