id;code;name;full_name;degree_start;degree_end;is_current_flag;description;date_create;date_edit;creator;editor
1;National;Tennessee;Unions;25896;26568;87874;yellow Branding azure;2019-05-30T23:15:18;2019-05-31T09:56:00;Designer;Palladium olive
2;implementation blue;bypassing;Rubber Sleek;42294;51326;79557;Cotton;2019-05-31T10:51:20;2019-05-31T03:07:36;microchip bypassing;Computer Future
3;Pants Metal back-end;Dominican Peso;Generic Steel Ball Small Table;43098;89097;51052;Fresh methodologies;2019-05-31T05:46:53;2019-05-31T10:03:23;Afghani;Wall Rand Namibia Dollar Public-key
4;Team-oriented;attitude-oriented Seamless JSON;deploy withdrawal eyeballs;43776;7830;31037;bypass Division;2019-05-30T15:24:20;2019-05-30T15:24:42;Accountability;pixel
5;Circle;didactic Lead deposit;end-to-end paradigm auxiliary;68056;37532;29955;Crossroad Licensed;2019-05-30T16:25:41;2019-05-31T08:20:33;invoice transition Savings Account;Small Rubber Salad
6;client-driven backing up Assistant;Gorgeous;payment Manager;91581;8396;50287;bluetooth Frozen Director;2019-05-30T14:50:21;2019-05-31T12:30:03;card;Intelligent reciprocal
7;grey asymmetric Incredible;Administrator payment;panel Principal;13773;82084;5434;Movies;2019-05-31T10:32:11;2019-05-31T12:37:27;Soft South Carolina;Networked software Berkshire
8;pixel;Officer viral calculate;Rustic Plastic Towels French Polynesia;99622;3440;47453;transmitting action-items;2019-05-30T18:52:12;2019-05-31T04:36:59;Human redundant;Savings Account invoice platforms
9;Checking Account;Baby;contextually-based Ferry bricks-and-clicks;17275;32001;62198;GB Usability;2019-05-31T09:22:01;2019-05-30T17:32:44;SMTP harness back up;Afghani
10;Kids Michigan Mountain;red index;panel metrics port;23301;98225;81314;Florida pink;2019-05-31T08:18:07;2019-05-31T03:25:09;Refined Rubber Shirt Money Market Account;TCP Ouguiya Cape
