id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Kentucky Optimization;Virginia Triple-buffered multi-byte;Greece Colorado;97833;parse;2019-05-31T11:07:18;2019-05-31T06:20:59;Mouse Lock concept;Lempira
2;Finland Belgium B2C;Yemeni Rial function;Digitized;24346;Gardens input;2019-05-31T08:43:42;2019-05-31T11:49:59;deposit Inverse Buckinghamshire;synergistic
3;Implementation Legacy;Practical Fresh Bacon magenta;Pants calculating e-services;18898;bandwidth-monitored client-server Lesotho;2019-05-31T08:02:50;2019-05-31T11:42:19;yellow;Wisconsin interface system engine
4;Brunei Darussalam;International;withdrawal Supervisor;26504;Tugrik Intelligent Wooden Computer Tools;2019-05-30T13:41:06;2019-05-30T17:34:49;PNG Home Loan Account card;Soap
5;Iranian Rial;program;blue access;62055;withdrawal;2019-05-30T20:53:13;2019-05-30T15:16:32;invoice;Democratic People's Republic of Korea Island Executive
6;RAM 1080p Computer;Health benchmark;Directives North Dakota Chile;5032;Sleek Concrete Chicken Electronics input;2019-05-30T20:18:44;2019-05-30T13:46:38;invoice;Sausages access
7;array;Business-focused Berkshire eyeballs;Arizona deposit analyzer;45998;6th generation next-generation;2019-05-31T09:50:35;2019-05-31T01:23:08;Algeria Vermont Towels;firmware
8;Home Loan Account tan Wooden;utilize Self-enabling Jewelery;archive Concrete;14562;Brunei Dollar;2019-05-30T22:14:41;2019-05-31T08:53:44;Representative Clothing deposit;Up-sized
9;Intelligent Brand Credit Card Account;e-enable;Nigeria asynchronous parse;92666;Berkshire;2019-05-31T06:05:55;2019-05-31T04:01:04;Handcrafted Granite Salad Metal enhance;Accounts Licensed
10;Hat;Maine Games;cross-platform interface gold;36672;Small Savings Account;2019-05-31T10:45:32;2019-05-30T14:43:50;Licensed Plastic Shirt Borders Cambridgeshire;Libyan Arab Jamahiriya
