id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;interface;maroon;infrastructures Regional web-readiness;14522;Sao Tome and Principe;2019-05-30T15:16:38;2019-05-31T09:33:35;Tasty Streets;Movies
2;virtual quantify;systematic cross-platform Senior;optical;84551;primary;2019-05-31T02:11:04;2019-05-30T17:52:33;invoice;program Designer Fish
3;Savings Account;mobile olive;Principal;72977;bus;2019-05-31T12:28:03;2019-05-31T05:37:09;transmitting Denmark;Frozen ability blue
4;Synergistic Moroccan Dirham HTTP;pixel Savings Account;multi-byte Director incremental;49482;Handcrafted North Dakota Bedfordshire;2019-05-31T10:55:17;2019-05-30T20:32:30;navigate interface;Iowa Computers
5;Clothing executive Australia;copy;SSL Money Market Account Savings Account;40336;Swiss Franc grey;2019-05-30T18:44:17;2019-05-30T21:39:35;North Carolina;killer quantify
6;Grocery Rustic;deposit Developer programming;explicit;37049;Montana SMTP Interactions;2019-05-30T20:38:19;2019-05-30T17:25:01;Buckinghamshire;e-services Roads
7;coherent;cross-platform;Gloves Iceland Krona;61624;Buckinghamshire morph Direct;2019-05-31T13:41:20;2019-05-31T08:20:24;Human Minnesota Marshall Islands;Identity gold
8;Kuwait Concrete;connecting;Accounts complexity SDD;76409;Balanced Baby;2019-05-31T11:56:37;2019-05-31T01:39:28;deposit Maine convergence;card
9;Indonesia;Buckinghamshire Saint Vincent and the Grenadines;Officer scalable Handcrafted Plastic Towels;74329;technologies hacking Norway;2019-05-30T16:04:23;2019-05-31T01:47:45;deposit bleeding-edge Investor;Cloned deploy
10;compress multi-byte Buckinghamshire;Gorgeous Berkshire tertiary;Dynamic Gold ADP;8877;ADP;2019-05-31T06:41:35;2019-05-31T04:34:41;communities;convergence Customizable
