id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Division;hacking;Principal Glen;6318;Savings Account;2019-05-30T22:17:20;2019-05-31T08:47:42;zero administration;Tunisia Wisconsin Denmark
2;AGP emulation;Cambridgeshire;deposit Soap schemas;28725;driver;2019-05-31T01:51:02;2019-05-31T05:13:39;Arizona Plastic supply-chains;Borders definition
3;transition solid state Data;generating Iran copying;Cotton;10655;Lebanese Pound;2019-05-31T06:29:51;2019-05-31T05:52:43;Metrics;yellow
4;Bhutan;Colorado;grey Mountains;43325;neural capacitor networks;2019-05-31T04:43:25;2019-05-30T23:10:35;Cheese;Small Steel Tuna
5;online Avon Gorgeous Granite Sausages;HDD transmitter Buckinghamshire;Metrics parse;74770;Sharable;2019-05-31T11:17:40;2019-05-31T07:59:56;yellow Codes specifically reserved for testing purposes;user-facing SDD
6;Bedfordshire Chief;strategic facilitate Generic;Ball Planner Investor;16695;Soft Sleek National;2019-05-31T08:05:08;2019-05-30T16:38:02;hierarchy Borders;Refined Concrete Table Markets
7;Manat Checking Account Incredible;Credit Card Account zero tolerance;Credit Card Account robust Triple-buffered;87283;primary Operative orange;2019-05-30T19:34:10;2019-05-31T03:18:16;Gloves;Sausages hybrid
8;Handmade Money Market Account;standardization global;mint green tan;76876;4th generation back up blue;2019-05-31T05:00:44;2019-05-30T23:52:37;XSS Automotive;yellow next-generation Shoes
9;withdrawal Cambridgeshire;Creative unleash;Cambridgeshire Soft;11540;virtual;2019-05-31T00:01:38;2019-05-31T02:36:36;Public-key fuchsia;Credit Card Account
10;real-time Fantastic Concrete Ball neural;grow District Tasty Steel Mouse;olive exuding Cheese;37936;Global Checking Account schemas;2019-05-30T14:18:25;2019-05-30T15:56:54;Bike;Utah Home Loan Account Handcrafted Cotton Shirt
