id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;online Avon Gorgeous Granite Sausages;HDD transmitter Buckinghamshire;Metrics parse;74770;Sharable;2019-05-31T12:56:59;2019-05-31T09:39:15;yellow Codes specifically reserved for testing purposes;user-facing SDD
2;Bedfordshire Chief;strategic facilitate Generic;Ball Planner Investor;16695;Soft Sleek National;2019-05-31T09:44:27;2019-05-30T18:17:21;hierarchy Borders;Refined Concrete Table Markets
3;Manat Checking Account Incredible;Credit Card Account zero tolerance;Credit Card Account robust Triple-buffered;87283;primary Operative orange;2019-05-30T21:13:29;2019-05-31T04:57:35;Gloves;Sausages hybrid
4;Handmade Money Market Account;standardization global;mint green tan;76876;4th generation back up blue;2019-05-31T06:40:03;2019-05-31T01:31:56;XSS Automotive;yellow next-generation Shoes
5;withdrawal Cambridgeshire;Creative unleash;Cambridgeshire Soft;11540;virtual;2019-05-31T01:40:57;2019-05-31T04:15:55;Public-key fuchsia;Credit Card Account
6;real-time Fantastic Concrete Ball neural;grow District Tasty Steel Mouse;olive exuding Cheese;37936;Global Checking Account schemas;2019-05-30T15:57:44;2019-05-30T17:36:13;Bike;Utah Home Loan Account Handcrafted Cotton Shirt
7;neutral alarm;monitoring Sleek platforms;Tasty Cotton Shoes;4934;Rhode Island;2019-05-31T05:12:09;2019-05-31T02:26:14;encryption multi-byte EXE;Movies Awesome Plastic Cheese RAM
8;Realigned;Supervisor 1080p Multi-layered;Common Health programming;35982;Iran Dalasi;2019-05-30T21:31:30;2019-05-31T05:23:08;Borders Graphic Interface Representative;invoice Graphical User Interface Metal
9;National quantifying vortals;blue;Arkansas withdrawal;84984;grid-enabled Fish;2019-05-31T05:17:31;2019-05-30T18:31:04;hack Handcrafted Concrete Hat;capacitor next-generation
10;indexing;ADP;Station;15737;Sports Data;2019-05-31T08:36:39;2019-05-31T06:01:04;Bahraini Dinar;Interactions
