id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;service-desk backing up;Extended Principal;complexity;99823;Orchestrator black application;2019-05-31T02:19:07;2019-05-31T13:18:25;Open-source JBOD;monitor azure
2;infomediaries;Hat;Product virtual Small Metal Chicken;57189;Forward;2019-05-31T11:02:38;2019-05-31T02:10:43;optical Massachusetts;Buckinghamshire
3;Gorgeous Granite Gloves;Mobility;Central;55412;Cayman Islands connect Shoes;2019-05-30T15:57:27;2019-05-30T17:10:45;Personal Loan Account;panel parse deposit
4;quantify 5th generation;Credit Card Account Auto Loan Account Dynamic;markets Money Market Account;76997;Gorgeous Response;2019-05-30T16:37:06;2019-05-30T18:17:33;Tennessee;Bedfordshire Row
5;logistical;protocol metrics Investment Account;models Checking Account Auto Loan Account;13203;compress content-based;2019-05-30T16:15:52;2019-05-31T02:23:28;PCI engineer navigate;Sleek
6;Technician connect maroon;core Administrator;virtual;77122;Multi-layered Central;2019-05-30T23:45:43;2019-05-31T09:45:53;Granite Phased;Colorado Buckinghamshire Buckinghamshire
7;neural;Eritrea Concrete connect;value-added array deposit;87498;Ergonomic Chief;2019-05-31T06:56:35;2019-05-31T09:34:39;Mandatory unleash;users Division
8;Pizza analyzing Cambridgeshire;bluetooth;Colorado;71470;Solutions;2019-05-30T16:05:22;2019-05-31T00:48:59;Engineer infrastructures French Polynesia;Future Facilitator EXE
9;West Virginia;architectures Movies;back up interactive;88760;web-enabled Rubber;2019-05-30T21:16:57;2019-05-30T17:07:57;invoice;Assistant solid state
10;Rubber;Gibraltar Pound backing up;Lithuanian Litas;86277;Mouse virtual;2019-05-30T17:30:08;2019-05-31T03:25:06;compressing Interactions Money Market Account;Egypt Tasty Steel Chips
