id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;District open-source collaboration;Som Garden 1080p;Intelligent;4856;Meadow Inlet;2019-05-30T15:14:15;2019-05-31T05:02:08;Liaison;Steel Grocery
2;SMTP;partnerships;parse Credit Card Account Arizona;5357;Fresh;2019-05-30T21:47:30;2019-05-31T00:04:22;connecting;Uganda value-added Infrastructure
3;synergistic Brand Bolivia;Borders;Wisconsin;89579;withdrawal;2019-05-31T04:21:20;2019-05-31T03:59:38;invoice Rubber solutions;e-enable
4;Ergonomic Frozen Ball calculating info-mediaries;utilize Chips relationships;data-warehouse clicks-and-mortar Handcrafted Frozen Chips;3929;deposit e-services;2019-05-30T13:57:32;2019-05-30T15:54:34;Operative;Berkshire Danish Krone
5;digital;olive program yellow;Hawaii Switzerland;18838;Sleek Steel Pants Manager auxiliary;2019-05-30T14:36:19;2019-05-31T06:17:19;invoice;Frozen Berkshire
6;New Israeli Sheqel Berkshire Avon;Granite;Ramp application;94063;moderator Small Granite Keyboard;2019-05-30T23:39:56;2019-05-30T13:05:42;Handmade;Officer Assurance magenta
7;Reactive heuristic payment;overriding Row;Shoes COM;51466;Unbranded;2019-05-30T20:04:30;2019-05-30T20:33:08;withdrawal Practical;attitude analyzing
8;Guinea;Persevering Burundi Franc;convergence Cheese Facilitator;56115;Balboa US Dollar emulation;2019-05-31T10:27:32;2019-05-30T15:15:22;Home killer alarm;Electronics
9;Nebraska Indiana protocol;Keyboard Lead Saudi Riyal;application;62598;Towels Knolls Berkshire;2019-05-30T22:41:27;2019-05-31T07:31:45;Libyan Dinar Director;Generic Steel Table
10;Island Open-architected;infrastructure Ouguiya SQL;Mouse;8591;pixel;2019-05-31T08:01:23;2019-05-31T02:04:49;maroon withdrawal Shoes;back-end Handmade
