id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;support National;Uzbekistan Sum ivory Personal Loan Account;digital Money Market Account;29582;JSON;2019-05-30T17:48:33;2019-05-31T04:27:04;Assimilated Points;Handmade Frozen Chips
2;channels SMTP California;feed;Buckinghamshire withdrawal;88968;niches;2019-05-30T16:21:20;2019-05-31T11:16:46;Missouri Generic Granite Gloves JBOD;Silver Unbranded Plastic Computer Savings Account
3;Alaska;Walks alliance action-items;mint green;75596;payment Concrete Bedfordshire;2019-05-30T21:31:59;2019-05-30T23:46:49;Small Wooden Salad Awesome Soft Bacon transmit;lime Handcrafted sensor
4;invoice;pixel;virtual Bedfordshire open-source;27742;payment;2019-05-30T21:21:23;2019-05-30T17:55:30;action-items input Towels;JBOD
5;Analyst Borders;generate Specialist Gorgeous Steel Sausages;Hat New Mexico Lao People's Democratic Republic;73962;Buckinghamshire;2019-05-31T07:26:55;2019-05-30T20:03:01;middleware;bus
6;Handmade Fresh Keyboard Team-oriented;Washington Metal;applications Bond Markets Units European Composite Unit (EURCO);34397;next generation;2019-05-30T14:03:48;2019-05-31T11:35:02;Baby Louisiana Aruban Guilder;Garden Albania connect
7;Sports Small;magnetic;heuristic;58186;Tasty Wooden Bike;2019-05-30T21:17:51;2019-05-30T15:50:54;systems;Awesome Cotton Sausages Chair Handmade
8;Chief Steel;technologies;Applications Singapore China;14112;Tools cross-platform Refined;2019-05-30T22:46:17;2019-05-31T00:27:03;Bedfordshire alarm Arkansas;Credit Card Account
9;Soft;website Isle Investment Account;Handmade Steel Gloves;92141;Wooden Rapids;2019-05-30T18:24:55;2019-05-31T10:54:25;convergence Organic synthesize;Accountability
10;Customer red;Ergonomic Maryland;bus invoice Home Loan Account;28254;generate Handcrafted array;2019-05-31T01:53:25;2019-05-31T02:42:15;AGP firmware National;Shoes
