id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Kroon Product;knowledge base Frozen;Savings Account;25955;transitional bandwidth;2019-05-30T19:04:57;2019-05-30T19:26:47;Rupiah;Representative
2;Massachusetts;Handmade Fresh Ball Handcrafted;Small Fresh Chicken Streets withdrawal;22123;Yen copy;2019-05-31T01:22:33;2019-05-30T17:27:17;high-level circuit;Bedfordshire
3;wireless Massachusetts Flats;aggregate backing up Robust;synthesizing Fantastic Rubber Tuna;37820;primary;2019-05-30T15:44:49;2019-05-30T17:40:04;Licensed didactic SAS;Virgin Islands, British Tasty Granite Ball
4;Unbranded Metal Computer Shoal Licensed;4th generation Track panel;Wooden Chicken;96026;Guarani 1080p facilitate;2019-05-31T04:39:41;2019-05-31T08:20:10;withdrawal;Sweden
5;Concrete experiences;Sausages Liaison;Health;23808;indexing salmon;2019-05-31T06:57:06;2019-05-31T02:16:43;models;Handcrafted Plastic Bacon dedicated Myanmar
6;Nebraska plug-and-play Cambridgeshire;intuitive;lime Unbranded Cayman Islands Dollar;66072;Group bus;2019-05-31T11:29:01;2019-05-31T07:13:12;Synergistic deploy Persevering;Liaison Germany
7;Senior channels index;Illinois;mobile navigate integrate;95439;Investor Implementation supply-chains;2019-05-31T07:59:36;2019-05-30T18:55:03;synthesize Avon;mobile
8;withdrawal;emulation monitor;Stand-alone;17170;Serbia zero defect;2019-05-30T21:38:21;2019-05-30T20:25:59;Technician;encompassing
9;Rustic;Configuration;Computers San Marino New Mexico;56115;Isle wireless Steel;2019-05-31T05:16:44;2019-05-31T03:13:22;Developer India;RAM
10;Kenyan Shilling deposit;Uruguay driver;encryption;92106;framework Ergonomic Pakistan;2019-05-30T16:57:42;2019-05-31T08:00:38;Chief;wireless
