id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Handcrafted Plastic Bacon dedicated Myanmar;Nebraska plug-and-play Cambridgeshire;intuitive;77768;bandwidth;2019-05-30T16:57:26;2019-05-30T21:59:40;payment Group;backing up Team-oriented Synergistic
2;communities New Hampshire;Granite support Senior;ivory partnerships;58475;synthesizing;2019-05-30T14:40:12;2019-05-30T20:04:35;integrate Data;Personal Loan Account violet Bedfordshire
3;Auto Loan Account Moroccan Dirham Plastic;Supervisor withdrawal e-services;monitor;31276;hacking;2019-05-31T00:06:33;2019-05-31T01:40:20;zero defect Credit Card Account Frozen;Home clicks-and-mortar
4;Concrete;transmitting Computers San Marino;Home Loan Account Architect;37360;Belarussian Ruble Incredible Cotton Soap Developer;2019-05-31T01:27:09;2019-05-31T04:41:19;RAM;Kenyan Shilling deposit
5;Uruguay driver;encryption;virtual end-to-end Operative;67220;yellow Chief Licensed;2019-05-30T21:25:52;2019-05-31T10:02:17;bus embrace;Manat Wisconsin
6;Granite models;Identity Fantastic;Licensed Metal Computer;43621;orchid quantifying digital;2019-05-31T02:42:53;2019-05-31T08:37:14;payment;zero defect Distributed panel
7;Ergonomic Fresh Chair;Chair;Vision-oriented;34044;Liaison;2019-05-31T01:49:23;2019-05-31T08:36:15;Tactics;frame Outdoors
8;visualize;Concrete Implemented;pricing structure Naira;28958;New Hampshire Handcrafted Concrete Chair cultivate;2019-05-30T15:54:05;2019-05-31T11:43:33;reintermediate compress;Frozen Practical Plastic Pizza
9;digital;reboot Outdoors Oregon;dot-com Awesome;68864;Specialist;2019-05-30T20:56:59;2019-05-30T20:47:12;SAS mint green Gorgeous;virtual Towels Louisiana
10;Soft Michigan Albania;hierarchy;virtual Colorado;9691;Egypt European Unit of Account 9(E.U.A.-9);2019-05-30T19:21:48;2019-05-31T11:56:45;Rustic Steel Fish neural-net;Shoes content
