id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Central;Accountability black Director;architectures Wooden Home;86912;Gabon Money Market Account;2019-05-30T15:44:10;2019-05-30T14:39:01;Chicken application;Rubber
2;Principal upward-trending;THX;bus Aruban Guilder;31931;Inverse;2019-05-30T15:02:30;2019-05-31T02:22:56;high-level cutting-edge Table;users Tuna
3;Awesome Avon;relationships redundant Nuevo Sol;Agent Small;39001;extend Nevada;2019-05-31T10:19:53;2019-05-31T06:12:37;Plastic;Applications circuit payment
4;Pula optical payment;sexy synthesizing;generate transform Tasty;91458;Fantastic deposit initiatives;2019-05-31T04:14:56;2019-05-30T14:09:21;Arkansas distributed real-time;quantifying
5;e-business;payment PNG Bedfordshire;Unbranded Cambridgeshire;31458;black Markets;2019-05-31T03:19:41;2019-05-31T04:40:38;cohesive;systematic
6;Gorgeous Metal Gloves Tuna B2C;black;copy;88501;red;2019-05-31T02:51:31;2019-05-30T18:40:21;Fresh input;Borders Guyana Dollar hacking
7;interface;Dynamic driver;Operations Incredible Cotton Hat;40271;Grocery Buckinghamshire;2019-05-30T19:54:59;2019-05-30T17:18:51;Salad Meadow e-commerce;Gorgeous Borders Salad
8;e-services District;Colorado Future productize;Accounts Sleek Baby;16110;Facilitator;2019-05-31T09:39:49;2019-05-31T00:00:26;Facilitator deposit;Auto Loan Account encompassing AGP
9;infomediaries;Nakfa cyan;Indonesia;97844;neural;2019-05-31T00:38:49;2019-05-30T18:46:30;Mills Personal Loan Account Money Market Account;strategize solutions Eritrea
10;Liberia Grove;Security Oklahoma;olive ivory;41275;Networked Colorado deploy;2019-05-31T03:12:35;2019-05-31T02:29:18;Dynamic orchestrate;XML web services synergies
