id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Creative intranet;Refined Plastic Chips;web-enabled cutting-edge;94163;program;2019-05-31T06:34:37;2019-05-31T08:50:39;Chief SAS;index firewall Shoes
2;Extended Cambridgeshire Tools;SCSI;generate;42286;Borders;2019-05-31T04:47:33;2019-05-30T17:36:24;application Saint Pierre and Miquelon Handmade Frozen Mouse;out-of-the-box Square portal
3;e-services panel Investment Account;Assistant Automated Investment Account;Movies Sleek;60141;XML Fresh Glens;2019-05-30T15:48:41;2019-05-31T11:36:08;Operations drive Nebraska;Gloves Metal purple
4;upward-trending Soft;eyeballs Buckinghamshire value-added;Sierra Leone Dominica Camp;32589;Park Investment Account;2019-05-30T14:00:32;2019-05-30T22:13:08;Switzerland Team-oriented grow;invoice Principal
5;Principal interface;Credit Card Account capacitor;Ergonomic Saint Helena Kyat;67924;Robust;2019-05-30T23:35:27;2019-05-31T00:25:09;withdrawal project Island;Markets Congo
6;Program Bedfordshire;withdrawal action-items Berkshire;networks;54418;Cocos (Keeling) Islands Borders Fresh;2019-05-31T01:46:00;2019-05-30T22:17:31;benchmark;Implementation Money Market Account
7;Intuitive Virginia;invoice;viral lavender Buckinghamshire;27699;Chile global Plastic;2019-05-31T07:17:27;2019-05-31T07:10:14;TCP Shoes;Money Market Account
8;sky blue Persistent;Infrastructure Books Practical Concrete Shirt;Wooden;67614;Kip matrix program;2019-05-31T13:40:16;2019-05-31T06:12:45;Assistant programming Bridge;Configuration online
9;blue calculating Vanuatu;Moldovan Leu;experiences ADP;12605;RSS Cambridgeshire;2019-05-31T03:58:04;2019-05-31T11:50:47;Buckinghamshire;Data incubate Triple-buffered
10;Data Small Cotton Tuna;Money Market Account;Kazakhstan;91079;synthesizing;2019-05-31T10:36:44;2019-05-30T22:26:37;Mongolia;France solution-oriented
