id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Via Berkshire Togo;incentivize bandwidth;Rustic reboot;22352;Handmade Soft Pants Chair;2019-05-30T22:58:49;2019-05-31T11:34:15;Avon Riel;Clothing calculating
2;panel Bedfordshire;Meadows violet cohesive;service-desk Fantastic Rubber Fish;24853;conglomeration transmit pricing structure;2019-05-31T08:10:16;2019-05-31T05:25:02;Consultant;Concrete
3;generate infomediaries;deposit;back up virtual Iowa;95731;encoding;2019-05-31T08:42:46;2019-05-31T06:32:58;Saint Martin deposit optimize;cross-platform Specialist payment
4;Industrial;District;Creative transmitter;8812;transmitting alarm Home Loan Account;2019-05-30T18:17:49;2019-05-31T02:46:02;Savings Account haptic;Republic of Korea Mexico Minnesota
5;European Monetary Unit (E.M.U.-6) invoice Jewelery;Security Small;online;25864;dot-com Handmade Wooden Keyboard compress;2019-05-31T02:08:21;2019-05-30T20:25:16;Shirt global even-keeled;feed Guinea-Bissau
6;Morocco Sleek neural;Web bricks-and-clicks;orchid;88467;Personal Loan Account vortals;2019-05-31T09:36:28;2019-05-31T12:11:59;Producer overriding Pants;cross-platform Iranian Rial reboot
7;Portugal Cotton;lime deposit;Kansas Kip open-source;69388;IB Skyway;2019-05-31T04:47:38;2019-05-31T12:35:04;Orchestrator;SCSI moderator exploit
8;Rubber one-to-one;overriding analyzing application;generating Mouse;85434;Cuban Peso Peso Convertible Botswana connecting;2019-05-31T03:55:18;2019-05-30T20:57:39;Gorgeous Steel Hat;Slovakia (Slovak Republic) open-source bluetooth
9;users deposit;Ergonomic Fresh Cheese Sleek Organic;withdrawal Human Incredible Steel Chair;17826;Planner;2019-05-30T20:49:19;2019-05-31T04:57:40;Aruba SCSI;open-source withdrawal real-time
10;Intranet;program Handmade withdrawal;Shoes;925;Crescent Borders;2019-05-31T13:26:31;2019-05-31T04:29:10;Gloves connecting Home;Chair
