id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Intelligent internet solution;plum;Rustic Serbian Dinar;5264;Ergonomic Plastic Shoes Senior payment;2019-05-30T18:15:00;2019-05-31T06:23:14;Spain;Automotive salmon
2;Maine recontextualize;Jewelery Specialist Auto Loan Account;paradigms compressing;82288;pink Qatari Rial zero tolerance;2019-05-31T05:35:35;2019-05-31T06:25:09;Oregon;De-engineered Games system
3;transform;Business-focused redefine Bridge;Personal Loan Account;56263;Plastic Gloves online;2019-05-30T15:25:54;2019-05-30T21:42:11;Cotton;cutting-edge
4;Progressive;transmitting monitoring;robust Qatari Rial Grocery;73564;Berkshire open-source;2019-05-30T13:49:19;2019-05-30T19:33:34;circuit impactful copying;Route
5;Fresh Mouse synergy;quantifying Coordinator;Gorgeous transform Boliviano Mvdol;67099;Soap;2019-05-31T12:32:46;2019-05-30T17:25:46;Direct Checking Account Books;partnerships
6;turn-key Bedfordshire;array;Bacon;64707;Passage Bedfordshire;2019-05-31T02:28:06;2019-05-31T10:57:15;Field Home Loan Account Handmade;Wyoming Infrastructure productize
7;Computer Kids;maximized;Awesome Frozen Hat;14193;open system;2019-05-30T16:59:34;2019-05-30T21:45:45;white;payment intangible
8;incentivize;Borders;Creative Gibraltar Pound Fantastic;46068;Principal Rustic;2019-05-30T13:00:00;2019-05-31T04:09:12;protocol Representative Pants;overriding
9;Grocery Credit Card Account;quantify Movies Checking Account;pink;29029;online Pants;2019-05-31T11:40:29;2019-05-31T10:09:22;Cotton Grocery;parsing Ergonomic
10;Tactics card invoice;Stand-alone deposit;Borders;69709;Vermont transmitting Awesome Metal Bike;2019-05-30T23:54:59;2019-05-30T20:51:48;array Kids;Internal Berkshire
