id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Graphic Interface SDD Car;Handcrafted Cotton Pants;monitor Fish;25226;Bike;2019-05-30T13:51:48;2019-05-31T06:09:02;Greenland Steel;Sausages
2;primary Hat;Island transmit;Berkshire Concrete;73899;repurpose bottom-line iterate;2019-05-31T00:47:13;2019-05-31T11:11:14;Gorgeous Concrete Shirt Lead;transmit Bike
3;Borders;transmit auxiliary;Diverse Fish;85918;Forge iterate Course;2019-05-30T13:24:25;2019-05-30T13:08:55;SMS Dalasi Directives;Dynamic content analyzing
4;cultivate navigate;Kentucky multi-byte;SSL Tasty Cotton Sausages;15824;Saudi Riyal Incredible invoice;2019-05-31T05:51:53;2019-05-31T06:07:11;solid state;Kids schemas Jewelery
5;tan Lempira;Granite;Chicken users;83298;Planner complexity;2019-05-30T23:57:58;2019-05-31T05:50:13;Sausages Multi-layered;Denar
6;Maine Interactions azure;Creative leading edge;Synergized executive;3925;attitude bypass;2019-05-31T11:35:33;2019-05-31T02:50:43;Oklahoma;multi-byte Mission
7;Jamaican Dollar deposit niches;Delaware Optimization;Montana;47648;installation;2019-05-30T19:24:49;2019-05-31T12:09:27;synergy;Toys Division Glen
8;database implement;well-modulated Practical withdrawal;synthesizing;42690;Tonga;2019-05-31T07:11:25;2019-05-31T00:10:53;Granite engineer indigo;tan
9;Turkish Lira National Bedfordshire;Automotive Trace dot-com;Concrete fuchsia;64767;eyeballs;2019-05-31T09:12:35;2019-05-31T01:11:45;Avon lime;Rustic Rubber Fish
10;hack Motorway application;bi-directional Chips transparent;salmon purple;12566;Concrete program;2019-05-31T01:27:41;2019-05-31T05:12:26;calculating e-markets feed;Kids Graphic Interface
