id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Pizza blue;Quetzal;Buckinghamshire capacitor Creative;8843;Applications;2019-05-30T15:52:20;2019-05-31T04:25:59;frame;cross-platform Investment Account
2;Developer Sleek Lead;New York Refined Rubber Pants;interfaces methodologies brand;92552;quantifying Tasty Handmade;2019-05-31T03:42:54;2019-05-31T10:02:50;Communications;Steel Norfolk Island Outdoors
3;North Dakota;Buckinghamshire Consultant;Guernsey Car Switchable;73848;neural bandwidth-monitored rich;2019-05-31T12:07:14;2019-05-31T07:46:40;driver Senior Adaptive;withdrawal web services emulation
4;Implementation Fantastic Metal Sausages Israel;Cyprus Handcrafted;violet Sierra Leone Exclusive;95562;Jewelery silver;2019-05-31T08:10:06;2019-05-31T12:33:10;open-source initiative;SQL pixel
5;revolutionary cross-media;Keyboard;Future Administrator cross-platform;28681;embrace hard drive Liaison;2019-05-31T03:03:09;2019-05-30T21:04:08;Principal metrics Bedfordshire;Beauty Berkshire Moldova
6;Gibraltar Pound;transmit;e-tailers Generic Soft Tuna;37694;Rustic payment HDD;2019-05-30T16:40:41;2019-05-31T12:36:07;program implement function;copying frictionless
7;multi-byte Cotton;Customer Bedfordshire Crescent;Missouri deposit Sleek Concrete Bacon;79546;Licensed Fresh Chicken withdrawal applications;2019-05-31T05:40:10;2019-05-30T16:32:29;gold;Frozen
8;COM;Team-oriented Borders bluetooth;United States Minor Outlying Islands Refined Soft Gloves;50533;withdrawal Borders;2019-05-31T02:10:50;2019-05-31T07:06:03;Engineer;Shirt orchid
9;orchestrate compressing New Jersey;Savings Account;SAS;56289;Integration Gorgeous Plastic Sausages gold;2019-05-31T00:41:30;2019-05-30T21:14:13;Rustic systems;Cocos (Keeling) Islands heuristic
10;Credit Card Account concept;stable frictionless program;Fantastic compressing Salad;8292;payment Ways Dynamic;2019-05-31T05:16:02;2019-05-30T20:22:51;syndicate;Crossroad transparent
