id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;cyan Direct Directives;clicks-and-mortar background;Virginia Industrial;39691;software firewall;2019-05-31T12:39:00;2019-05-31T08:59:03;Moldova Nauru;architect framework Indian Rupee Ngultrum
2;Quality experiences synthesize;compress Towels e-business;Fork Operations;21445;Handcrafted;2019-05-30T16:35:21;2019-05-31T02:41:49;Well Technician matrix;copying programming
3;Berkshire Personal Loan Account;relationships;heuristic hard drive;83252;protocol circuit;2019-05-31T01:41:04;2019-05-31T03:19:07;Michigan Metal Computers;Handcrafted Cotton Computer
4;Future lime;Intelligent Concrete Chair;index SMS Home Loan Account;18819;methodical Bridge Identity;2019-05-31T08:02:51;2019-05-31T10:33:01;District Incredible brand;Refined Soft Gloves
5;Producer;Rustic Frozen Bike;optical;87851;Tasty Steel Shoes input Cotton;2019-05-31T10:47:31;2019-05-31T09:33:33;paradigms;zero defect
6;Fantastic;quantifying internet solution;deposit Metal Georgia;28721;Marketing reboot Engineer;2019-05-31T13:04:57;2019-05-31T05:30:31;Implementation;Tools User-centric
7;core Sleek Agent;Uzbekistan Sum;Pants system;52444;Orchestrator;2019-05-31T00:42:58;2019-05-31T05:14:39;HDD;Rubber cross-platform SSL
8;transmit Avon;Bedfordshire;Soap back up;22898;Belarus Ports Alabama;2019-05-30T16:55:56;2019-05-30T18:01:07;Table Avon global;Money Market Account Oregon withdrawal
9;calculate;Ball;Berkshire Handmade Concrete Car Group;97683;program Secured modular;2019-05-30T22:29:06;2019-05-30T23:52:57;collaborative;Persistent Architect
10;Baht synergies;SSL;Baby;30095;hack redundant tan;2019-05-30T14:58:01;2019-05-31T06:29:35;Cambridgeshire orchestration;feed Generic
