id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Hills Wooden Moldovan Leu;Licensed Officer;ivory;64575;copying Centers;2019-05-30T20:56:30;2019-05-30T23:27:24;Wyoming optimizing Legacy;Monitored
2;India Tasty Security;markets Maryland;Savings Account Borders;69454;Generic Plastic Bike calculating Gorgeous;2019-05-30T17:51:25;2019-05-31T10:11:01;US Dollar;interactive Home Loan Account Gloves
3;Bedfordshire;Frozen;haptic;66797;Senegal bluetooth;2019-05-31T02:30:52;2019-05-30T23:46:42;initiatives;withdrawal Configuration
4;Digitized;systems;orange Future HDD;7672;Ergonomic Avon;2019-05-30T23:46:02;2019-05-30T22:57:22;Roads;Credit Card Account access Health
5;eyeballs Refined District;Idaho AGP TCP;concept Rhode Island;42084;Officer Unbranded Rubber Mouse;2019-05-30T17:47:21;2019-05-31T13:46:08;Books Savings Account;extranet Director
6;collaborative Hryvnia Incredible Frozen Salad;Strategist;Ball generate;22341;Small;2019-05-30T17:23:25;2019-05-30T15:41:19;Regional Chicken architectures;SMTP Graphic Interface Saint Barthelemy
7;National Accountability;Mouse Salad;Handcrafted microchip;14049;matrix communities;2019-05-31T10:34:42;2019-05-30T22:20:52;driver Turnpike Accountability;hub hard drive Quality-focused
8;New Hampshire SQL best-of-breed;Dominican Peso;Rustic Steel Towels AGP Turkish Lira;66053;Credit Card Account;2019-05-30T18:00:26;2019-05-31T10:11:23;Auto Loan Account copying;Mobility Denar Total
9;Nebraska Corporate;Montana contingency;United States Minor Outlying Islands;14058;SCSI Russian Ruble;2019-05-30T14:32:29;2019-05-31T05:49:15;Bedfordshire;XSS incentivize Trafficway
10;Global Cape Verde Escudo Interactions;Automotive International;Handcrafted Fresh Car;48447;Burgs Texas Shoes;2019-05-31T03:07:43;2019-05-31T12:08:44;driver Bedfordshire red;technologies
