id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Frozen Concrete ivory;Kids;Granite Pants Sports;78209;auxiliary Soap array;2019-05-31T02:19:41;2019-05-31T02:45:26;generating;Sausages
2;Car invoice Taka;Kentucky;backing up connect forecast;53395;Intelligent Concrete Car Borders;2019-05-31T10:40:11;2019-05-31T02:43:44;Credit Card Account lavender cross-media;Intranet Guyana
3;zero administration motivating;Garden;azure invoice New Jersey;38258;website Compatible Norway;2019-05-30T14:40:47;2019-05-31T05:55:54;payment Auto Loan Account Pants;Generic Rubber Keyboard
4;local;card online task-force;Pre-emptive revolutionize;60645;parse Lead District;2019-05-30T18:05:38;2019-05-31T06:35:17;Steel;recontextualize Wooden driver
5;5th generation transmitting;Balanced;Handcrafted Cotton Table Division;28592;niches;2019-05-31T10:17:12;2019-05-30T18:22:37;International ROI;orchestration parsing
6;motivating;extend methodology;Refined Home Loan Account;18674;Berkshire;2019-05-31T00:02:05;2019-05-31T01:37:37;Kiribati Cedi Computers;HDD Pants
7;Cuban Peso Peso Convertible Robust;Vista;viral cutting-edge;59568;Developer Agent;2019-05-30T22:49:17;2019-05-30T15:05:30;superstructure;Alaska dynamic programming
8;4th generation secondary;Namibia;ROI pixel;89491;Lempira;2019-05-31T07:49:33;2019-05-30T21:27:24;AGP Cameroon bypass;North Dakota Concrete Fresh
9;solutions;Savings Account;input Gorgeous Wooden Bike Yemeni Rial;89260;invoice;2019-05-31T07:23:53;2019-05-31T07:56:23;Communications;Practical Rubber Chicken Persevering
10;info-mediaries Cyprus bus;Advanced;Street;13183;withdrawal;2019-05-31T07:35:45;2019-05-31T04:23:21;Concrete Awesome Metal Computer;Home Incredible Frozen Sausages
