id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Developer;Licensed Wooden Fish Bedfordshire;Tasty Wooden Sausages synthesizing;73121;withdrawal Plastic;2019-05-30T22:37:33;2019-05-30T15:15:15;Auto Loan Account Alabama Public-key;Automotive
2;model platforms Soft;Small Fresh Pizza bifurcated Silver;array Hat Mississippi;31265;Soap;2019-05-30T17:21:50;2019-05-30T20:09:08;Regional hacking;innovate SAS
3;Cambridgeshire Frozen;Fresh Soap;interface red Engineer;40408;invoice Music;2019-05-31T10:55:42;2019-05-31T11:19:52;Principal copy Alaska;killer Shoes grey
4;Upgradable bandwidth architectures;Future-proofed Frozen azure;Business-focused redundant;43307;Future;2019-05-31T03:10:52;2019-05-31T09:24:21;RSS program CSS;e-tailers navigate
5;Clothing port;Harbor Generic Soft Table;Administrator clicks-and-mortar Savings Account;31165;Orchestrator Square;2019-05-30T22:45:54;2019-05-31T07:53:27;input;eco-centric Neck GB
6;Landing IB paradigms;generating Savings Account Borders;Cambridgeshire empower Soft;41670;Licensed Wooden Chicken;2019-05-31T04:00:07;2019-05-31T11:52:31;SDR;engage copy
7;next generation compress;Division;Uganda Shilling Fantastic;59454;North Dakota;2019-05-30T21:33:46;2019-05-31T13:47:52;Locks pink;mobile Granite
8;quantifying Cambridgeshire Berkshire;success Forward Incredible;French Polynesia;22389;e-commerce Borders calculating;2019-05-30T16:28:46;2019-05-31T03:57:53;back up exploit;Ball Money Market Account Beauty
9;methodologies deposit;communities implementation;Utah Concrete California;31925;harness multi-tasking;2019-05-30T15:37:49;2019-05-31T13:12:47;Concrete Zloty fuchsia;streamline overriding Chips
10;relationships Algerian Dinar Shirt;Producer virtual;bypassing Investment Account;38912;Arkansas;2019-05-31T00:08:31;2019-05-31T00:58:16;Regional;end-to-end incubate reboot
