id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;capacitor Dalasi;schemas back-end Guadeloupe;Associate Berkshire;11163;Wells;2019-05-30T21:15:23;2019-05-31T06:35:01;FTP Malagasy Ariary visionary;next-generation Unbranded
2;Shoes dot-com extensible;Kids;PCI disintermediate microchip;62770;engineer Soft;2019-05-30T20:57:37;2019-05-30T15:31:30;visualize driver Bedfordshire;Handmade Rubber Pants navigate Gorgeous
3;Nevada Developer silver;Rustic;back-end 24/365 Synchronised;35284;payment Montenegro synthesize;2019-05-31T05:50:47;2019-05-30T17:59:53;Wooden primary;Locks hardware
4;Avon Research;XSS Georgia;bus online Syrian Pound;60692;Idaho FTP;2019-05-30T18:15:53;2019-05-31T02:12:57;solution;e-services Cross-platform
5;Practical Licensed Wooden Ball clicks-and-mortar;Bedfordshire Unbranded;open-source Jersey bandwidth;36632;Jewelery;2019-05-30T16:16:49;2019-05-31T10:20:45;invoice;North Dakota protocol Avon
6;Ameliorated National;alarm Borders Inverse;Refined Soft Hat Tugrik;47280;National interactive scalable;2019-05-30T17:02:14;2019-05-30T19:46:13;incremental Keyboard Dominican Peso;invoice
7;Fresh throughput;wireless;Forward withdrawal;93775;Steel;2019-05-31T11:52:42;2019-05-31T04:43:37;Internal Streamlined indigo;value-added indigo Paradigm
8;Fantastic Frozen Chicken;intermediate;analyzing Licensed Steel Soap Rubber;7136;compress Berkshire;2019-05-31T05:45:17;2019-05-31T03:11:00;Washington transitional;panel
9;Lempira Tools HDD;Auto Loan Account Cambridgeshire embrace;transmitting Berkshire USB;88658;Music;2019-05-31T04:47:43;2019-05-31T05:31:33;whiteboard Home;Grass-roots incubate Avon
10;Cheese District Checking Account;Chips Islands virtual;EXE Agent;62964;digital auxiliary B2C;2019-05-31T00:12:06;2019-05-30T21:17:06;Quality Small Garden;Soft Vision-oriented Regional
