id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;eyeballs;attitude;Nebraska one-to-one;8031;SSL;2019-05-31T09:13:25;2019-05-31T01:55:24;directional Creative Cove;input
2;hierarchy;port Towels;program;92800;5th generation strategic Cove;2019-05-30T15:43:55;2019-05-31T09:40:17;Executive Bulgaria Mews;Awesome world-class Gloves
3;matrix Personal Loan Account;incentivize;fuchsia Music;53690;Massachusetts aggregate foreground;2019-05-30T22:20:05;2019-05-31T12:09:39;Denar;copy
4;Soft;connect Awesome Steel Towels Administrator;gold;74513;Concrete Rustic;2019-05-30T20:56:27;2019-05-31T02:03:50;envisioneer;Underpass Station port
5;THX calculating;high-level process improvement e-markets;website;99443;Rustic Wooden Chair Lead Gorgeous Fresh Computer;2019-05-30T20:49:08;2019-05-31T01:11:03;ADP;override Maryland Optimization
6;virtual bypassing Chief;Buckinghamshire Ergonomic;Utah Proactive content;63405;Reactive Unbranded Steel Sausages;2019-05-31T13:27:08;2019-05-31T01:38:26;primary;Decentralized red Facilitator
7;yellow;Cayman Islands;whiteboard orange knowledge base;97529;monitor alarm Refined;2019-05-30T20:24:50;2019-05-30T17:06:06;North Carolina communities withdrawal;backing up Zambian Kwacha microchip
8;Locks PNG;Sleek Metal Keyboard;drive Ball B2B;37346;Agent Planner Granite;2019-05-30T20:33:39;2019-05-31T10:08:05;driver;Tasty Specialist Mobility
9;initiatives;Sharable Bedfordshire;one-to-one input;57045;Unbranded;2019-05-31T03:39:35;2019-05-30T22:13:22;functionalities digital;virtual Plastic Upgradable
10;Salad;turquoise;online parse Internal;53320;Refined New York optical;2019-05-31T11:44:39;2019-05-31T07:43:01;Small;Investment Account ADP
