id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;artificial intelligence;Executive;bus;45044;adapter;2019-05-30T17:49:45;2019-05-31T03:12:28;Open-architected Surinam Dollar;bypassing Chilean Peso Unidades de fomento
2;seize ivory;Berkshire bandwidth Central;Gorgeous Concrete Expanded;85952;Regional hacking scalable;2019-05-31T07:50:59;2019-05-31T06:31:59;Metal Chips;Steel Ergonomic Metal Pizza transmitting
3;neural-net Tasty firewall;Senior Liaison;Plastic Georgia Customer;79307;Tanzania partnerships;2019-05-30T23:32:26;2019-05-31T08:12:10;compress Handcrafted;AI
4;Auto Loan Account Table;deploy Automotive Sri Lanka Rupee;multi-tasking Wooden Music;53215;Fantastic strategize;2019-05-31T00:14:46;2019-05-30T15:09:42;microchip;back up Program
5;Swiss Franc;Assurance Fantastic Frozen Chair Industrial;Specialist United Kingdom Incredible Granite Tuna;89233;Nakfa;2019-05-30T21:06:32;2019-05-30T19:49:13;Bolivia;Cotton Human Jordan
6;Executive Factors secured line;Switchable SSL modular;Gorgeous Fresh Salad;17454;Incredible Cotton Chicken North Dakota SAS;2019-05-30T15:00:25;2019-05-31T07:16:20;Avon Dobra;Maine
7;Guyana Dollar Object-based;value-added parse Croatia;Awesome Plastic Bike optical quantify;20884;orchid;2019-05-30T22:58:00;2019-05-31T05:48:12;synthesizing Brooks;Checking Account interface Strategist
8;open-source Computer motivating;Nigeria;input generate Berkshire;81082;eyeballs Steel;2019-05-31T00:50:31;2019-05-31T00:35:27;indigo salmon Metal;Program
9;Gourde US Dollar redefine;THX utilisation;Practical Cotton Keyboard User-friendly;47671;Human microchip;2019-05-30T22:30:07;2019-05-31T01:14:23;Baby back up;New York Australia
10;teal Licensed;Generic Steel Towels;Money Market Account Saint Barthelemy;27302;Robust Plastic;2019-05-30T18:00:40;2019-05-30T20:36:58;CSS e-business;JSON back up
