id;date_create;date_edit;creator;editor;id_id
1;2019-05-30T18:12:08;2019-05-30T20:11:33;Forward;enable;2
2;2019-05-30T23:18:54;2019-05-30T19:27:27;Small Berkshire;Louisiana;8
3;2019-05-30T23:14:50;2019-05-31T06:05:07;Berkshire redundant;Enterprise-wide Forges Factors;9
4;2019-05-31T04:10:16;2019-05-31T10:11:14;Kids Response Niue;invoice Kansas;1
5;2019-05-31T02:06:26;2019-05-30T13:47:20;whiteboard deposit RAM;ivory parse;3
6;2019-05-31T05:03:31;2019-05-31T13:09:34;Interactions Keyboard;Computers;10
7;2019-05-31T08:01:56;2019-05-30T17:57:18;Representative Refined Wooden Table;infomediaries;6
8;2019-05-30T23:07:44;2019-05-31T07:49:48;Small Frozen Tuna salmon;Granite;10
9;2019-05-31T01:52:27;2019-05-31T08:53:53;hack;incubate Ethiopian Birr Front-line;5
10;2019-05-30T16:24:55;2019-05-31T00:17:48;USB;Liaison;10
