id;date_create;date_edit;creator;editor;id_id
1;2019-05-31T13:12:35;2019-05-30T14:49:10;platforms Tanzanian Shilling Indiana;distributed;3
2;2019-05-31T00:42:37;2019-05-30T23:37:15;sexy deposit;Centers;7
3;2019-05-31T11:16:52;2019-05-31T01:55:35;Buckinghamshire Unbranded;Function-based;6
4;2019-05-31T03:36:31;2019-05-30T19:13:57;systemic initiatives;Music Brooks;5
5;2019-05-31T10:00:20;2019-05-31T00:25:39;bypassing digital;plug-and-play;1
6;2019-05-31T11:01:23;2019-05-31T09:04:20;Dynamic Baby;exuding moratorium;6
7;2019-05-30T23:32:40;2019-05-31T08:52:58;Sports;Berkshire quantifying;5
8;2019-05-31T10:09:08;2019-05-30T14:02:27;hack Agent Berkshire;Saint Lucia Human;3
9;2019-05-30T14:32:01;2019-05-31T09:18:33;Squares;sky blue;6
10;2019-05-31T07:04:01;2019-05-31T09:21:24;seamless Solutions Soft;matrices attitude;4
